Date,interlocutor_name,statement _size,statement,statement_number,chair_in_charge
2014-06-18,MR MR,19,your theres shows Youve ty Sargent data they from Now youre d the important reason why data quarter that,statement_420,CHAIR YELLEN
2014-06-18,MR MR,31, inflation statistical estimated rate estimates MR jumping youve estimates at more I what that the different off trends unduly were converging started time stochastic volatility looks we expectations over ,statement_421,CHAIR YELLEN
2014-06-18,MR MR,13,complicated estimates are the The going havent are tenth y years MR holding,statement_422,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_423,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_424,CHAIR YELLEN
2014-06-18,MR MR,24,would MR volatility much Watson tionist long For the dont could a trend of Watson varying parameter stochastic v olatility MR Watson s forecast,statement_425,CHAIR YELLEN
2014-06-18,MR MR,26,percent MR the Stock Watson are of more MR inflation of frequency If ou MR inflation moved We nges in changes term in percent assumption dynamics,statement_426,CHAIR YELLEN
2014-06-18,MR MR,5,estimates close we o forecasts,statement_427,CHAIR YELLEN
2014-06-18,MR CHAIR,-1,,statement_428,CHAIR YELLEN
2014-06-18,CHAIR MR,101,expectations based five year MR that the that market based I also MR especially which MR market based that they them move actually things the market based truly MR e decades model survey MR been term inflation MR me MR thats backed in the soit shock MR  to headline :Q said I always and is thats So inflation normal trend or official  this is anchored around s is MR percent  extended MR ibility and MR know MR expectations MR out year forward what its year average ich suggests percent MR year we were underlying anchored esnt tell modestly,statement_429,CHAIR YELLEN
2014-06-18,MR FISCHER,14,MR Theres survey before run react term ns term expectations from the MR inflation,statement_430,CHAIR YELLEN
2014-06-18,MR MR,59,and that anchored one ever h think longerterm movement MR the based year year year year They after a and thats was MR period MR a tosafety things these based MR the things e MR definitely inflation question something specific that s not MR facts both based measures left to year ahead tion compensation consistent left panel MR percent,statement_431,CHAIR YELLEN
2014-06-18,MR MR,37,got which percent and MR models  the behind occurred models thats s spit of underlying that the based measures the based those ose next You year ahead forecast some weve what interesting MR Lets weve ntits,statement_432,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_433,CHAIR YELLEN
2014-06-18,MR CHAIR,-1,,statement_434,CHAIR YELLEN
2014-06-18,CHAIR CHAIR,-1,,statement_435,CHAIR YELLEN
2014-06-18,CHAIR MR,12,hander result  percent  what underlying MR because BEA MR ,statement_436,CHAIR YELLEN
2014-06-18,MR FOMC,0,,statement_437,CHAIR YELLEN
2014-06-18,MR CHAIR,-1,,statement_438,CHAIR YELLEN
2014-06-18,CHAIR MR,119,ter actually comment issue maximum than let in of ve interpret I contrarian k already exactly year good  know committed You percent have percent Again d inflation distance over the models ysis but necessarily MR that wide ourselves favor front MR  MR the objective that that t one are andblood their time judgment plausible something CHAIR say so MR quarter December growth While porary trade previously For appear earlier investment I market   unemployment the that and time employees nemployment May The recession participation steady state sided need t to before state My overstated provides as Given t now clearly off I One because our unanchored our are occur to Should will then the timing Chair,statement_439,CHAIR YELLEN
2014-06-18,CHAIR MR,151,regret ou and expects highest the fed eral rate to even in break one energy in quarter grown sector multifamily homes or look If t Wage May problems number rted dealers and These ported meeting that whereas ill approaching Nationally Governor  interlocutors about executive  financial engineering muscle that line someday rather managing The that bending revenue urniture metal morning Theyre of that itwhat anhour response Madam believe confirm payrolls year pace gains cidence greater ratio companies top line expect Regarding look t and this As defense one because were ŒMurray budget sequestration experiencing cond talked production Looking again almost disappointing recently shy age natural On usefulness term is modest with rate ing The measure captures inflation o unemployment and Ill percent Now as than lieve very policymakers that estimating our wrong staff do earity the that drift the nilly becomes Again felicitous the your percent period that r deep,statement_440,CHAIR YELLEN
2014-06-18,CHAIR MR,105,continues optimistic month e three  In shipments e Thursday June that stands predictive content six reported index and index workweek As housing for ss family region building reflect multi unit associated Realtors o children growing into consternation misplaced optimistic projects Overall he contacts My data trend  Labor the rate been mostly other participation ts  through state I term unemployment and recession Inflation Its still information siness inflation perhaps Tealbook In to begin at itand raising early r by Tealbook a this Kocherlakota it dont forecast what of rules The reduced could casting our continue goals will are inflation Œstopﬂ icies know Chair,statement_441,CHAIR YELLEN
2014-06-18,CHAIR MR,97,expand reasonably performance The pace whole  whole n improvement During US substantially comments middle made asked specifically quarter The ad plans In Maybe eres Accordingly over tandem percent by that I labor participation term leave rcent will relatively declines indicating declines per ended   todate ofyear cent below this furthermore unemployment round  he  over year last in forecast possibly forecasts inflation nt taken near term Globally US expectations Market based res German that years quantitative l Be they equivalent unconventional blown aggressive during alf prospects If Committee ay be Im onfident developments jobs,statement_442,CHAIR YELLEN
2014-06-18,CHAIR MR,104,Anecdotal Reserve continued director people southern order unsweetened while about tea reflect the Carolinas Carolina theyve growth related quality Turning forecast been been structures My lowering lt weve make pushed temptation in despite care different picture half Im for Five population Like ss structural possibility tightening for homes sluggishness family investmentlike is The reciated latest completely Williams rpreting of I that tle reasonable against greater MR District Lockhartorsﬂ In o sentiment associated manufacturin g Most strong is ing purchase The some with Sixth southern sector home soft We emerged recovery Constrained restraints sector softness Now It quite This If economy Ill last good the,statement_443,CHAIR YELLEN
2014-06-18,MR MR,112,event subsequent nue run soundings surveyed improvement theyre hinted make positive of our Atlanta view elevated time important pressures measures tightening Next in sion a downward ﬂ At wage Finally particular financial stability June operation according financial Madam CHAIR changed quarter This consistent reports In remainder investment increased plans small had related Our ts prospects are line cost Although activity downside ly downward sector hum spending particularly Nevertheless Turning year welcome is projection in ths good Second target the three year ahead through Fed an contacts either aterials to Third in t  point r in Inflation So break FOMC intends achieve mandate bank In tomorrow overdue highly been inflation CHAIR hander,statement_444,CHAIR YELLEN
2014-06-18,MR Is,0,,statement_445,CHAIR YELLEN
2014-06-18,MR PCE,0,,statement_446,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_447,CHAIR YELLEN
2014-06-18,MR Oh,1,We,statement_448,CHAIR YELLEN
2014-06-18,MR MR,1,of,statement_449,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_450,CHAIR YELLEN
2014-06-18,MR MR,10,that Im ask ﬁYesﬂ you whatﬂ MR That MR this,statement_451,CHAIR YELLEN
2014-06-18,MR MR,2,strategy y,statement_452,CHAIR YELLEN
2014-06-18,CHAIR MR,3,trimmed mean Laughter,statement_453,CHAIR YELLEN
2014-06-18,MR CHAIR,249,herlakota MR thank talking of Japan policy I how the sometime ast with run time for run I discomfort resources ion general longrun run run that up  were sentiment Okay o second ics the CogleySargent Watson more Michigan Sargent Watson t means expectations itself The when downward s that to FOMCs communicationsand that ecessarily were continues on should have s MR is MR late the hard front really reminded e of Bank Governors Theres used whats came never ike challenge inflation How s the additional As harts past had the believe they have in implications CHAIR President MS showing related regional e unemployment state I changed percentage The my level represents Most nd and District for the sectors including Last Cincinnati outlook downgrade difficulty Others id than pickup At attribute choppy half Save grown has en include moved Recently still overyear Feds which all since Now Laughter time oject growth somewhat about judgment And s subsequently With reaching  expectations back our My program markets rrun zero goal earlier han Consistent funds rule sion rates liftoff funds run despite run As mber risks CHAIR expand four recession average optimistic employment Tenth Turning with saw  percent forecast markets supportive pickup businesses recession In continue of high University increase finding percent recession as increase In tional firm pattern inventories time homebuyers much time homebuyers also Plossers to family In issues measures that In ent topopulation to year olds been So labor Finally year based The average recession dence end,statement_454,CHAIR YELLEN
2014-06-18,CHAIR MR,127,getting confirm made just above  rate expect years I nitude similar in in The etails for forecast eyre low goals term possibility lation reach this nd recent Laughter To and are overshoot stability maximum employment consistent run and reaffirmed Various long term yment term data longterm term unemployed from  important model term provides Now model findings and state city differences and term are themselves basically separating In developed ture subject careful to that price The from l should prepared that The on essentially term unemployment the that term tes economy and implies todays Finally term key characteristics comparison that term term unemployedother a unemployment metric So longterm term could the mandatein and full employme nt In and like price modest the can on CHAIR reconvene,statement_455,CHAIR YELLEN
2014-06-18,MR CHAIR,216,: am round Meeting CHAIR Chairman VICE of getting sustainable we That derable going  surprised began I like any liftoff I loyment this in dont ny market excess was strong recovery slog One Credit credit evolved would recovered more nt lending changed The t in This that tovalue I that less der hence need something increased the we currency income that problematic The ty factors positioning And the The we ctable forward term rates about e investors in the But just contribut es accommodative conditions incurring in in mandate For here taking sharp feel and financialstability lowering term for easier CHAIR r how basic weaker its at something thats e from going The almost everyone something Well quarter potential function the We we what and I marking listened argument quantify I the accompanied empirical we seeing whether The become economy The g its shortterm term unemployment equilibration we The relates rising growing percent full that do And other weight so because my which of I law vant public and see incredible t Vice Dudley volatility quote the al this on the  d context Now over frequently rate percent you difference Thats dont We I but r is uncertainty the uncertainty be yesterday Monetary guidance for the I to in conditions also totally fuse deal,statement_456,CHAIR YELLEN
2014-06-18,CHAIR MR,73,connected significantly probably yesterday ex because out And Second Vice and over I year incomplete slowdown whether some Third nues it its can past for as ing is from ensue ing whose taking Similarly term is new coauthored President Williams Im but until recession had is term term unemployment both we Fourth not indeed anticipated we able the Fifth it seem economic yesterday the also trajectory this there has based couple substantial beyond,statement_457,CHAIR YELLEN
2014-06-18,CHAIR MR,201,baseline ence minutes After highly accommodative e continue core that y or As question currencies and for Committee future Low form these asses of income for example are n European Conditions extremely time crisis highs lite time with incurrence rated singleB is time near to ultimate As e CLOs investors corporate not illustrate Meanwhile crisis markets income crisis lows the environment balance retail oriented of liquidity Putting r volatility would itions So bringing for example private equity financings It ems must in markets a US as The rate en possible not we disconnect shaking require Chair Well our them employ posed ime purchases sustainable to objective On that Plosser course three month month President various likewise rates of and while tofill market coming significant f as  slack interpretation nd Presidents bounceback phenomenon class recession paying somewha t paying On something Presidents citly see would  force force tion underemployment One rate Tealbook There noted much ident that time overall which ck business Moreover saving theyre pressures described could personally seen my is growth spending in capital lly strengthening On I Bullard perhaps expressed expectation The range in g monetary continued President addition and you descr ibing meetings Presidents I I,statement_458,CHAIR YELLEN
2014-06-18,MR CHAIR,262,commented describing did pickup Lockhart student have Although growth trend mainder Presidents Fischer did return s Bullard that the in be cularly personally caution Turning CPI positive we A expressed well cautioned inflation the rise uncertainty experience President confirming term than term in interpretations gidity But mandateconsistent President nd Committee hysteresis discussion In Presidents inflation overshoot by Kocherlakota Japan On gradually this Briefly balanced ned growth financial stability could Also Governor financial financial e minimum Just havent the That  improvement rly discouragement With I ke alarming quarter contributions have es As and As with probably Without substantial approach And financial to regulato ry develops In Fis cher that policy financial removed possibility However say the Let ready me next for his MR  labeled distributed this As unexpectedly decline your rate as  grows thanpotential the The left panel the All purchases billion move  reduction thro ugh disagreement on end ts importantly portfolio of increase The shown modest ril continue term shown all recent Turning term outlook in The e economic monthsﬂ quarter April developments noting spending growth reduction appear ernative it Alternative quarter t underlying slack be urchases year to l likely Like that than improvementﬂ employment ﬁunderutilization remainsﬂ It description announces that in A likely lead l Longer term Finally sequence current economic anytime want set information they The re recent alternative outlook more forward An le surprise total anticipated ate Equity investors Draft your That CHAIR question expectations informative would s been market The the MR called yesterday one attention would based or As relative ns think,statement_459,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_460,CHAIR YELLEN
2014-06-18,MR MR,2,beliefs ask,statement_461,CHAIR YELLEN
2014-06-18,CHAIR MR,2,that the,statement_462,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_463,CHAIR YELLEN
2014-06-18,MR MR,6,they osition and composition MR hard,statement_464,CHAIR YELLEN
2014-06-18,CHAIR VICE,1,hander,statement_465,CHAIR YELLEN
2014-06-18,CHAIR VICE,14,composition esnt MR sense the matter harder people VICE ugh longterm MR should term,statement_466,CHAIR YELLEN
2014-06-18,VICE MR expectations,1,expectations,statement_467,CHAIR YELLEN
2014-06-18,VICE CHAIR hander?,11,hander MR just chance really to reaction And about lieves the,statement_468,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_469,CHAIR YELLEN
2014-06-18,MR CHAIR,9,hander MESTER unemployment economic MR a about MS ,statement_470,CHAIR YELLEN
2014-06-18,MR CHAIR,56,we to of In e anticipating  measured am December Now have clarify this decided stors very even croeconomic I would of sentence statement something make purchase ge I expectations On press would a which achieving Of with assuming nce to down order question In what or Als o my asked in Does round MR in,statement_471,CHAIR YELLEN
2014-06-18,MR VICE,-1,,statement_472,CHAIR YELLEN
2014-06-18,VICE CHAIR MR,113,MR raised gly clarify allowing Personally for  detail support question statement press think implying I not not repeat issue prepared Let d do that Committee ipates add A accurately nsus consensus underlying public recommended Now meetings reducing either ng This generally responses to that to year ahead outlook language based Now actually deadline persistently on persistently market thinking Put if and naming id least level if  aggressi ve alternatives Now approaches Ive erations thought macroeconomic foundation previous needed As be on PCE my s only unsuccessfully But right consider saying in Madam ave  to day more to Ill Plosser round reality Im inflation not I thinking communication Committee hope by,statement_473,CHAIR YELLEN
2014-06-18,CHAIR MR,66,suggestion course that with personal the I just handled Committee very I With The Bill nd about migrate alternative the I le to full onsider this Evan Wilcox standing repeat language the any with I submissions inflation be overshoot I Now Rosengren back that financial and see tightening down The for been onger indicators muscle consider might tapering that y summer I just tighten to you,statement_474,CHAIR YELLEN
2014-06-18,CHAIR EN,25,MR minimalist sense providing e real communications volatility Exit lessons response that increases becomes so and economy In suggest eet I result a question Thank,statement_475,CHAIR YELLEN
2014-06-18,CHAIR MR,291,I hat clarifying preference could as uld it For back year  need paragraph As consistent earlier of current our move anticipated data dependent inflation bjective term early unduly Even assessed conditions ago liftoff I to the contingent Payi ng counterproductive consistent inflation I specificity staff run in end rules much Looking basis run theres k Governor conceptually in and t that my In balance alluded and The very reinvestment term asuries balance Finally sell ll our If size providing a will stance The undermines alance insist term wish there effects term other ent analysis about One didnt housing that sure means term in means want action I language as go support objections suggestion sort some it low that but would CHAIR them path contingent median echoing the stochastic than Second Im off schedule Third program billion I on Then reinvestments Im hawkish buffer thats raising communication process me First ot contingent calendar unemployment amazingly were and on With predicting the based flation also of term s I term down  points cast That or toodistant If Committee the convinced convinced term down l The or term expectations Its goal convincing Let based envision primary advocated ante with Chair current think which term we Maybe conference could future monetary the in policy today that when uncture possibility issue bringing s markets with this Rosengren Now strategy Ending One concerned of By this is confidence to It effect macroeconomic ld yesterday that path term could abrupt useful sing My ending ending that policy pressure e program concrete an Dudley Im the Vice the that ngs date Finally management be We agree to wou ld this ending For mentioned sentence moving Just ceiling something target level rgeting It level level policy Committee with,statement_476,CHAIR YELLEN
2014-06-18,CHAIR MR,9,proposed y approach On Ill and it some Kocherlakota,statement_477,CHAIR YELLEN
2014-06-18,CHAIR MR,45,the are opinion Just liftoff nominal I the support inflation target some experienced My year ahead increas e inflation average Thats plus front sustainable hout state for discussed raising objective our r will away possible I can banking need better side threading Kocherlakotas sustainably to,statement_478,CHAIR YELLEN
2014-06-18,CHAIR MR,9,Vice championship Unfortunately York came all MR e apologize,statement_479,CHAIR YELLEN
2014-06-18,VICE MR MR,90,MR that quarter Of substantial run these urse measured a alternative properly e Madam approach opine misconstruing you approach suggested I obviously minimizing ecessary the global South were re taking Japan accommodation opriate by financial same As over This ry the countriesthat But at our in carry for yield term financial stability Now highlight and future financial CHAIR has the billion uncertainty expected gradually has Regarding l we economic than Chairs youre come get Turning My y with I considerable with contingent be examining either collected up participants ff language,statement_480,CHAIR YELLEN
2014-06-18,CHAIR MS,24,terms reduction inflation year of rvey  goal As policy ons policy as taffs revisions consistent r accommodative consider consistent yield October assume ct,statement_481,CHAIR YELLEN
2014-06-18,CHAIR MR,16,purchases in question t statement the last I Governor generate per we volatility of us also,statement_482,CHAIR YELLEN
2014-06-18,CHAIR MR,22,t proposal because theres youve very of fact looking sentence ou what erﬂ ﬁnormal e what Alternatively ﬁnear mandateconsistent proach longrun it,statement_483,CHAIR YELLEN
2014-06-18,CHAIR MR,75,alternative with I done en contingent we flip confirm be with the because CHAIR very October In the e not known in one about baseline brings time Beyond suggested the you ard Ive participants with previous long term FOMCs first rate eds tantrum agree for Some prior with first point raneous pretty with Interestingly nearly circumstances low for And further ing theres itself rate the Tealbook liftoff The on depend me invite suggested n you,statement_484,CHAIR YELLEN
2014-06-18,CHAIR MS,10,virtue recent Kocherlakota friends quite proposed With some date viewed,statement_485,CHAIR YELLEN
2014-06-18,CHAIR VICE,95,written think this just posal October think d doesntit I surprisingly these the run formulation run considerably term can This Also current term run eal then Another unemployment f rate seems understate rate bottom time Committee rmulation think Finally all reinvestment zero mandate true based is shortand term supposedly longterm term expectations sometimes because experience would CHAIR handle October putting conference minimize that overwhelmingly alterna tive as with MR Englishs Chair Yes Vice Yes Governor Yes Governor Yes President Yes President Yes President Yes President Yes Governor Yes Governor Yes CHAIR are those stu dy,statement_486,CHAIR YELLEN
2014-06-18,MR CHAIR,-1,,statement_487,CHAIR YELLEN
2014-06-18,CHAIR END,132,June Œ Governors : following: Janet William C Dudley Lael Stanley Richard Narayana Loretta Charles Jerome Daniel Christine C James the Banks William B Matthew Michelle Smith Scott Steven David James Leahy Wohl Economists Simon Lorie Robert  Governors Nellie Governors  ________________ Affairs Mark Regulation Jon Members Trevor Governors Linda Brian Ellen Monetary Board Daniel Directors   ivision Governors Board William  Affairs Research Min  Jeremy Penelope  Governors Laura  David Katie    Tuesdays only  Statistics Affairs Jonathan Achilles Sangster II of Mark Vice Reserve David Atl anta respectively Cletus A Kansas respectively Deborah  Reserve Marc  June Œ  CHAIR three Stan Fischer Lael other  We learning them The items  we joint the Aside Fischer So dﬂ t FISCHER its heres,statement_488,CHAIR YELLEN
2014-06-18,CHAIR No,0,,statement_489,CHAIR YELLEN
2014-06-18,MR CHAIR,-1,,statement_490,CHAIR YELLEN
2014-06-18,CHAIR YELLEN,498,Maybe ther e t our a operations MS  participants term rates two review two memos effective  meeting As eased end meeting term driven declines while have accommodative economy including The term tenors foreign c outlooks five year year December but To side respondents five year year Treasury middle left factors: run changes related ﬂ such safe haven US somewhat see a The expected run longerdated estimates run surveys responses to percent run rate In highlighted ential growth have recent reach third downward run As outlooks omme ntary the relative veness Lastly market related highly Desk have an positioning year which starting he In term implied changed left the dian Most as not SEP term views In for appear of dated run expectations r premiums One term interest theme broadly right volatilities lows kets prior implied not al The explaining left panel reach for yield behaviorﬂ low ﬂ Reduced outlook for yield context ht expected amid options participants to topright yield ies narrowed prices occurred improvements Risk large icy willingness measures most e refinancing rate to lowered it announced extended rate Securities related purchases Since area Expectations considerably in epreciated against S the left indexes have increased year n equivalents In reports recent ons search Despite prices expectations area expectations right shorterdated has declines  dated area inflation ve The ECB area As left rates  have ed overnight overnight shown right area money they challenging and are Despite rates area However additional this now MR area negative rtterm euro principal left your repos official deposits until rket systems  basis point temporarily struments continuing duration Continuing Steve and Swiss will out day funding announce recent usage of the Turning to a May Treasury rates right takeup left and GCF r operations likely ines up end partici pation funds quarter end riods week The maximum Take up operations right The operations more up  early Banks modestly will limited takeup reserves in specified maturity memo variation testing would very Shifting icipants pushed shown side median three months f very anticipating Vice Dud ley increase term on basis narrowing intermeeting narrowing term which We house Tradeweb scale staff than the auctions Treasury leaving reduced l statement of Finally beginning rate the decreased organizations eral implementation Committee ng the conditions e The in switch the panel qualitymix rate Eurodollars e fund term wholesale left  right weighted o each The the fed that llar into the additional of A for an al and counterparty left heir capacity total the We e began As overnight our counterparty four right not First until inadvertently operating more with airness implies execution current mark et which Second the would in one funds Third Desk companies could we investors The rty operating by weak nge However actively counterparty formation efficacy kly eliminate for market from the In especially d program admitting additional A bottom left for staff consuming anticipate ng between government with to itional If normalization new Committee for decreasing that ight do,statement_491,CHAIR YELLEN
2014-06-18,CHAIR LLEN,6,MR you in which a be,statement_492,CHAIR YELLEN
2014-06-18,MR We,26,reasonable in a the counterparties percent for about assets counterparties solely for eason is we certain waves so In thats you declined  youd cant down,statement_493,CHAIR YELLEN
2014-06-18,MR CHAIR,-1,,statement_494,CHAIR YELLEN
2014-06-18,CHAIR ELLEN,53,MR and rate Late when the an testing the floor e extent would scale should for when the use it MR the additional can earn relative what what learned We earn just weve quarterend f  definitely chart  at we basis I think because changes to the ﬁWe say be sonably the,statement_495,CHAIR YELLEN
2014-06-18,MR Do,36,program MR Certainly hope this or issues program table MR fund hat managers MR a the would overnight only device that issues arising MR chart  exhibit that this line decision off contingent contingent I or,statement_496,CHAIR YELLEN
2014-06-18,MR Im,9,st expect the I consistent being then MR didnt,statement_497,CHAIR YELLEN
2014-06-18,MR MS,10,asks : your year sting on Treasuries timing ﬂ standing,statement_498,CHAIR YELLEN
2014-06-18,MR CHAIR,40,Actually on participants participants program our permanent MR of the gime that have years MR Would that MR t is more in we certainly definitely counterparty The s option  that new ge where by business  are some weve,statement_499,CHAIR YELLEN
2014-06-18,MR CHAIR,6,I until Term have allowing you,statement_500,CHAIR YELLEN
2014-06-18,MR Im,92,MR please MR what was a broke and discount Later you also be couple So deposit discount window MR Madam s VIX and talking The their debt has percent ts onefourth last market  billion hats year Im Desks are you has MS on atility particularly in as when theyve theres other art heard more focused MR proximate meeting something attention MR Its ked place reach for y ield thats United and an year withi n United some MR Forgive CLO MR Its  some Loris chart number things have they late,statement_501,CHAIR YELLEN
2014-06-18,MR MR,30,o have anecdotes essentially triple A tranches financial round seen funding these structures The responses they n since the then capital structure A down its it that have in yields,statement_502,CHAIR YELLEN
2014-06-18,MR CHAIR,-1,,statement_503,CHAIR YELLEN
2014-06-18,CHAIR MR,-1,,statement_504,CHAIR YELLEN
2014-06-18,MR ROSENGREN,37,The is or have should to because and market is choose think to To the definitely those e I designate a a that On up that we and if true doesnt in to MR Though there counterparty,statement_505,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_506,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_507,CHAIR YELLEN
2014-06-18,MR MR,51,two financialstability re excluding run issue oncerns nd directly involving surrounding MR Theres financial stability issue which that that the vari ability r up prime that the and of takeup tradeoff volatility where you would up is volatile than prime start putting money the MR prime s part or competitive a,statement_508,CHAIR YELLEN
2014-06-18,CHAIR MR,5,understand s t youre presently,statement_509,CHAIR YELLEN
2014-06-18,MR As,27,o the overnight At he ould lower MR Thank CHAIR President exhibit   factors decline in year year forward There chatter decline an as ther Outlookﬂ,statement_510,CHAIR YELLEN
2014-06-18,MS MR,-1,,statement_511,CHAIR YELLEN
2014-06-18,MR RD,5,MS different but e category,statement_512,CHAIR YELLEN
2014-06-18,MR As,7,AFE MS I reserve ﬂ the between,statement_513,CHAIR YELLEN
2014-06-18,MR My,16,that the ECB contemplating t major being MS longerrun I ECB I a affected MR good,statement_514,CHAIR YELLEN
2014-06-18,MR MR,44,President question well f f is sharp theres dressing periods for MR balance they usually example invest effectively quarter end of their sheet funds theyll seen end crease up rates provided United Its question place dress MR its as that doing a same governmentonly,statement_515,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_516,CHAIR YELLEN
2014-06-18,MR CHAIR,2,ks ratify,statement_517,CHAIR YELLEN
2014-06-18,MR Am,2,CHAIR This,statement_518,CHAIR YELLEN
2014-06-18,MR So,0,,statement_519,CHAIR YELLEN
2014-06-18,CHAIR MR,536,Its Im me I to of much We in were consensus As set clearly September concretely appropriate to infrastructure ce general mix se simple rate consensus e normalization Of previous broad although in term rates the last We taining neighborhood trading concerns overnight I spelled IOER financial stability RRP We the Its reach g public July to We forth time make We round remaining very today this think MS  My referring alizationﬂ three policy of cating Fabio financial stability by regarding Ill during round preliminary ground normalization  this As April control term approach RRPs As imposing RRP normalization To such  RRP An very nonbank You reserves t expensive development the Two about run measure ally public meeting If as funds normalization that primarily e on to institutions overnight RRP We term interest or As because understood normalization to longerrun If ation would crisis balances much target clearer anges target federal RRP within rate spread access overnight RRPs overnight RRP overnight on e rate overnight RRP approach orize term the on in the the necessarily Alternatively the rate may arget precision administered rather as Having because disruptive RRP adjusted rates overnight RRP e spread accompanying desired the for an Rather communicate RRP rates exhibit  announce by d shortterm you term including similar attention Communicating to term expected though also pointing if term then stered perhaps Finally depend up overnight RRP The up that frequently the term is have term decisions which run Fabio discuss ON MR features stability cerns with RRP you As as intended are disruptive associated term firms determine arranted As circuit breakers: individual caps that counterparty and benefit amount greater market based rate to up the could aggregate up exceeded when and and algorithm some multiplied multiplicative As of ul number this First disruptive term The caps surges contrast control Evidence from he RRP up varies individual a aggregate more especially based allocation ight RRP Second urrent could price auction stem individual possibilities for in RRP with up would significant With on both a somewhat submit aggregate complex Finally communication Overall easier probably would some ules for mechanics and about In todays optionan adjusted each up between Committee involves rigid aggregate up plus would allowable RRP would amounts RRP As bottom proposals high RRP enough uncertain inform The occasionally for ends could Occasionally bind them contingency could for constraining accommodate end In may large size s Although financial injecting the Hence complement caps  individual financial stability during In overnight RRPthat circuit ﬂ the constituencies facing Committee be d overnight Debby MS for to which normalization As June likely modifications increase sometime noted right have occurred holdings dated during rity Committees normalization with As rized baseline sometime and ce timing projected purchase s a staff market announcing rates ould As end before liftoff ll liftoff the would the staffs originally projected  Because accommodation payments policy However an unpredictable prefer which option target term art use term policy tightening was reinvestments financial more policymakers substantial much liftoff target communications liftoff than A actions communications starting Of y all securities securities to uncertainty chart smooth ff particularly securities policies for divert ing Treasury vice to The distributed staff in Chair completes,statement_520,CHAIR YELLEN
2014-06-18,CHAIR YELLEN,23,ets as I handed come issues from andforth MR primarily reinvestment to but wrong that you ant a than the flow debate it,statement_521,CHAIR YELLEN
2014-06-18,MS We,71,this term probably which uncertainty signaling supply or for ndogenous that least some uncertainty We as in market participants could a that with the plans MR impression just market participants on of reinvestment would cessation generally a tightening after it read ramping sk not that of news think main So memo Ex kept be might MR about on with seems to minimized bout of reinvestment whether is legitimate within MR Last,statement_522,CHAIR YELLEN
2014-06-18,MR MR,43,when l flow is that we was This e what the third backed limit to of that it so significant larger MS what much the time CHAIR hander President MR question reinvestment as not some reinvesting step year an clear normalization MR in,statement_523,CHAIR YELLEN
2014-06-18,MR CHAIR,-1,,statement_524,CHAIR YELLEN
2014-06-18,CHAIR MR,10,exhibit  option adjusted If this before be having we,statement_525,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_526,CHAIR YELLEN
2014-06-18,MR MR,-1,,statement_527,CHAIR YELLEN
2014-06-18,MR MR,46,ot lot s MR Thats scale asset program see that had a the mortgage Vice Dudleys to Now in backed following optionadjusted The have the was panel its MR Just Vice Dudleys in We e about were So telling much saying we MR at of how,statement_528,CHAIR YELLEN
2014-06-18,CHAIR MR,9,that because So balance predictable not ts at much,statement_529,CHAIR YELLEN
2014-06-18,MR So,15,look exhibit  you or ld that I does surprise future it MS right slowly,statement_530,CHAIR YELLEN
2014-06-18,MR CHAIR,-1,,statement_531,CHAIR YELLEN
2014-06-18,CHAIR MR,4,I do MR it,statement_532,CHAIR YELLEN
2014-06-18,MR MR,4,the net house principal,statement_533,CHAIR YELLEN
2014-06-18,MR CHAIR,-1,,statement_534,CHAIR YELLEN
2014-06-18,CHAIR VICE,45,hander effect his guishing between flows and what effect you doesnt how is Now view that term say we Tarullo flexibility whole strength maintain g actually builds what Vice Dudley guess that desire about isions as Committee that your being inclinations that we sufficiently should,statement_535,CHAIR YELLEN
2014-06-18,CHAIR MR,20,have Treasuries re bit Treasury volumes as are the in be to mitigate MS this is would issuance and be,statement_536,CHAIR YELLEN
2014-06-18,MR CHAIR,124,have First we are do federal MR firmer that we whether eral funds rate suggests MR short term floor bill control were  ints basis points How there ou trading rate So approach in there would IOER to et MR funds the nobody snt you to Federal Home Loan were reinventing MR Its times and it which funds actually seems its in we operate in and term real term g s If with around ble that there I least that potentially MR Can actually through from are eral funds MR this academic knowledgeactually starting that the exactly rate MR as t requirements for Treasury and I in RP and our tions are implementation have RPs to a set it Simon MR anymore at of,statement_537,CHAIR YELLEN
2014-06-18,MR MR,33,have been I think operating of Regulatory at position each cash really that to affect financial I Vice Dudley care t Desk is going I for eral rate that targeting al and markets,statement_538,CHAIR YELLEN
